Type,Iterations,Time,OptIterations,Discount,Epsilon,SCost,NegTerm,PosTerm,KeyLoss
value,8,0.001212,7,0.16,1e-06,-0.04,-1,1,0.5
value,8,0.0012,7,0.161,1e-06,-0.04,-1,1,0.5
value,8,0.001215,7,0.162,1e-06,-0.04,-1,1,0.5
value,8,0.0012,7,0.163,1e-06,-0.04,-1,1,0.5
value,8,0.001198,7,0.164,1e-06,-0.04,-1,1,0.5
value,8,0.001211,7,0.165,1e-06,-0.04,-1,1,0.5
value,8,0.001304,7,0.166,1e-06,-0.04,-1,1,0.5
value,8,0.001201,7,0.167,1e-06,-0.04,-1,1,0.5
value,8,0.001219,7,0.168,1e-06,-0.04,-1,1,0.5
value,8,0.000674,7,0.169,1e-06,-0.04,-1,1,0.5
value,8,0.000675,7,0.17,1e-06,-0.04,-1,1,0.5
value,8,0.00069,7,0.171,1e-06,-0.04,-1,1,0.5
value,8,0.000675,7,0.172,1e-06,-0.04,-1,1,0.5
value,8,0.000675,7,0.173,1e-06,-0.04,-1,1,0.5
value,8,0.000701,7,0.174,1e-06,-0.04,-1,1,0.5
value,8,0.000674,7,0.175,1e-06,-0.04,-1,1,0.5
value,8,0.000674,7,0.176,1e-06,-0.04,-1,1,0.5
value,8,0.000674,7,0.177,1e-06,-0.04,-1,1,0.5
value,8,0.000674,7,0.178,1e-06,-0.04,-1,1,0.5
value,8,0.000674,7,0.179,1e-06,-0.04,-1,1,0.5
value,8,0.0007,7,0.18,1e-06,-0.04,-1,1,0.5
value,8,0.000674,7,0.181,1e-06,-0.04,-1,1,0.5
value,8,0.000674,7,0.182,1e-06,-0.04,-1,1,0.5
value,8,0.000674,7,0.183,1e-06,-0.04,-1,1,0.5
value,8,0.000674,7,0.184,1e-06,-0.04,-1,1,0.5
value,8,0.000674,7,0.185,1e-06,-0.04,-1,1,0.5
value,8,0.000693,7,0.186,1e-06,-0.04,-1,1,0.5
value,8,0.000807,7,0.187,1e-06,-0.04,-1,1,0.5
value,8,0.000732,7,0.188,1e-06,-0.04,-1,1,0.5
value,8,0.000799,7,0.189,1e-06,-0.04,-1,1,0.5
value,8,0.001027,7,0.19,1e-06,-0.04,-1,1,0.5
value,8,0.000695,7,0.191,1e-06,-0.04,-1,1,0.5
value,8,0.000674,7,0.192,1e-06,-0.04,-1,1,0.5
value,8,0.000696,7,0.193,1e-06,-0.04,-1,1,0.5
value,8,0.000704,7,0.194,1e-06,-0.04,-1,1,0.5
value,8,0.000674,7,0.195,1e-06,-0.04,-1,1,0.5
value,8,0.000675,7,0.196,1e-06,-0.04,-1,1,0.5
value,8,0.000705,7,0.197,1e-06,-0.04,-1,1,0.5
value,8,0.000684,7,0.198,1e-06,-0.04,-1,1,0.5
value,8,0.000674,7,0.199,1e-06,-0.04,-1,1,0.5
value,8,0.000674,7,0.2,1e-06,-0.04,-1,1,0.5
value,8,0.000675,7,0.201,1e-06,-0.04,-1,1,0.5
value,9,0.000761,7,0.202,1e-06,-0.04,-1,1,0.5
value,9,0.000757,7,0.203,1e-06,-0.04,-1,1,0.5
value,9,0.000757,7,0.204,1e-06,-0.04,-1,1,0.5
value,9,0.000758,7,0.205,1e-06,-0.04,-1,1,0.5
value,9,0.000772,7,0.206,1e-06,-0.04,-1,1,0.5
value,9,0.000757,7,0.207,1e-06,-0.04,-1,1,0.5
value,9,0.00076,7,0.208,1e-06,-0.04,-1,1,0.5
value,9,0.000757,7,0.209,1e-06,-0.04,-1,1,0.5
value,9,0.000758,7,0.21,1e-06,-0.04,-1,1,0.5
value,9,0.000758,8,0.211,1e-06,-0.04,-1,1,0.5
value,9,0.000758,8,0.212,1e-06,-0.04,-1,1,0.5
value,9,0.00076,8,0.213,1e-06,-0.04,-1,1,0.5
value,9,0.000757,8,0.214,1e-06,-0.04,-1,1,0.5
value,9,0.000757,8,0.215,1e-06,-0.04,-1,1,0.5
value,9,0.000758,8,0.216,1e-06,-0.04,-1,1,0.5
value,9,0.000758,8,0.217,1e-06,-0.04,-1,1,0.5
value,9,0.000759,8,0.218,1e-06,-0.04,-1,1,0.5
value,9,0.000758,8,0.219,1e-06,-0.04,-1,1,0.5
value,9,0.000758,8,0.22,1e-06,-0.04,-1,1,0.5
value,9,0.000758,8,0.221,1e-06,-0.04,-1,1,0.5
value,9,0.000758,8,0.222,1e-06,-0.04,-1,1,0.5
value,9,0.000759,8,0.223,1e-06,-0.04,-1,1,0.5
value,9,0.000758,8,0.224,1e-06,-0.04,-1,1,0.5
value,9,0.000757,8,0.225,1e-06,-0.04,-1,1,0.5
value,9,0.000758,8,0.226,1e-06,-0.04,-1,1,0.5
value,9,0.000769,8,0.227,1e-06,-0.04,-1,1,0.5
value,9,0.000758,8,0.228,1e-06,-0.04,-1,1,0.5
value,9,0.00076,8,0.229,1e-06,-0.04,-1,1,0.5
value,9,0.000938,8,0.23,1e-06,-0.04,-1,1,0.5
value,9,0.00076,8,0.231,1e-06,-0.04,-1,1,0.5
value,9,0.000759,8,0.232,1e-06,-0.04,-1,1,0.5
value,9,0.000758,8,0.233,1e-06,-0.04,-1,1,0.5
value,9,0.000762,8,0.234,1e-06,-0.04,-1,1,0.5
value,9,0.000758,8,0.235,1e-06,-0.04,-1,1,0.5
value,9,0.000757,8,0.236,1e-06,-0.04,-1,1,0.5
value,9,0.000757,8,0.237,1e-06,-0.04,-1,1,0.5
value,9,0.000757,8,0.238,1e-06,-0.04,-1,1,0.5
value,9,0.000771,8,0.239,1e-06,-0.04,-1,1,0.5
value,9,0.000758,8,0.24,1e-06,-0.04,-1,1,0.5
value,9,0.000757,8,0.241,1e-06,-0.04,-1,1,0.5
value,10,0.000841,8,0.242,1e-06,-0.04,-1,1,0.5
value,10,0.000841,8,0.243,1e-06,-0.04,-1,1,0.5
value,10,0.000873,8,0.244,1e-06,-0.04,-1,1,0.5
value,10,0.000841,8,0.245,1e-06,-0.04,-1,1,0.5
value,10,0.000842,8,0.246,1e-06,-0.04,-1,1,0.5
value,10,0.000841,8,0.247,1e-06,-0.04,-1,1,0.5
value,10,0.000871,8,0.248,1e-06,-0.04,-1,1,0.5
value,10,0.000865,8,0.249,1e-06,-0.04,-1,1,0.5
value,10,0.000841,8,0.25,1e-06,-0.04,-1,1,0.5
value,10,0.000841,8,0.251,1e-06,-0.04,-1,1,0.5
value,10,0.000841,8,0.252,1e-06,-0.04,-1,1,0.5
value,10,0.000843,8,0.253,1e-06,-0.04,-1,1,0.5
value,10,0.000865,8,0.254,1e-06,-0.04,-1,1,0.5
value,10,0.000861,8,0.255,1e-06,-0.04,-1,1,0.5
value,10,0.000841,8,0.256,1e-06,-0.04,-1,1,0.5
value,10,0.000841,8,0.257,1e-06,-0.04,-1,1,0.5
value,10,0.000842,8,0.258,1e-06,-0.04,-1,1,0.5
value,10,0.000841,8,0.259,1e-06,-0.04,-1,1,0.5
value,10,0.000841,8,0.26,1e-06,-0.04,-1,1,0.5
value,10,0.000841,8,0.261,1e-06,-0.04,-1,1,0.5
value,10,0.000841,8,0.262,1e-06,-0.04,-1,1,0.5
value,10,0.000843,8,0.263,1e-06,-0.04,-1,1,0.5
value,10,0.000841,8,0.264,1e-06,-0.04,-1,1,0.5
value,10,0.000841,8,0.265,1e-06,-0.04,-1,1,0.5
value,10,0.000842,8,0.266,1e-06,-0.04,-1,1,0.5
value,10,0.000843,8,0.267,1e-06,-0.04,-1,1,0.5
value,10,0.000849,8,0.268,1e-06,-0.04,-1,1,0.5
value,10,0.000842,8,0.269,1e-06,-0.04,-1,1,0.5
value,10,0.00084,8,0.27,1e-06,-0.04,-1,1,0.5
value,10,0.000841,8,0.271,1e-06,-0.04,-1,1,0.5
value,10,0.000843,8,0.272,1e-06,-0.04,-1,1,0.5
value,10,0.000841,8,0.273,1e-06,-0.04,-1,1,0.5
value,10,0.000841,8,0.274,1e-06,-0.04,-1,1,0.5
value,10,0.000841,8,0.275,1e-06,-0.04,-1,1,0.5
value,10,0.000841,8,0.276,1e-06,-0.04,-1,1,0.5
value,10,0.000843,8,0.277,1e-06,-0.04,-1,1,0.5
value,10,0.000842,8,0.278,1e-06,-0.04,-1,1,0.5
value,10,0.000841,8,0.279,1e-06,-0.04,-1,1,0.5
value,11,0.000924,8,0.28,1e-06,-0.04,-1,1,0.5
value,11,0.000928,8,0.281,1e-06,-0.04,-1,1,0.5
value,11,0.000944,8,0.282,1e-06,-0.04,-1,1,0.5
value,11,0.000931,8,0.283,1e-06,-0.04,-1,1,0.5
value,11,0.000925,8,0.284,1e-06,-0.04,-1,1,0.5
value,11,0.000924,8,0.285,1e-06,-0.04,-1,1,0.5
value,11,0.000927,8,0.286,1e-06,-0.04,-1,1,0.5
value,11,0.000925,8,0.287,1e-06,-0.04,-1,1,0.5
value,11,0.000925,8,0.288,1e-06,-0.04,-1,1,0.5
value,11,0.000925,8,0.289,1e-06,-0.04,-1,1,0.5
value,11,0.000927,8,0.29,1e-06,-0.04,-1,1,0.5
value,11,0.000924,8,0.291,1e-06,-0.04,-1,1,0.5
value,11,0.000925,8,0.292,1e-06,-0.04,-1,1,0.5
value,11,0.000924,8,0.293,1e-06,-0.04,-1,1,0.5
value,11,0.000926,8,0.294,1e-06,-0.04,-1,1,0.5
value,11,0.000925,8,0.295,1e-06,-0.04,-1,1,0.5
value,11,0.000954,8,0.296,1e-06,-0.04,-1,1,0.5
value,11,0.000945,8,0.297,1e-06,-0.04,-1,1,0.5
value,11,0.000928,8,0.298,1e-06,-0.04,-1,1,0.5
value,11,0.000925,8,0.299,1e-06,-0.04,-1,1,0.5
value,11,0.000924,8,0.3,1e-06,-0.04,-1,1,0.5
value,11,0.000924,8,0.301,1e-06,-0.04,-1,1,0.5
value,11,0.000925,8,0.302,1e-06,-0.04,-1,1,0.5
value,11,0.000927,8,0.303,1e-06,-0.04,-1,1,0.5
value,11,0.000925,8,0.304,1e-06,-0.04,-1,1,0.5
value,11,0.000925,8,0.305,1e-06,-0.04,-1,1,0.5
value,11,0.000924,8,0.306,1e-06,-0.04,-1,1,0.5
value,11,0.000926,8,0.307,1e-06,-0.04,-1,1,0.5
value,11,0.000925,8,0.308,1e-06,-0.04,-1,1,0.5
value,11,0.000925,8,0.309,1e-06,-0.04,-1,1,0.5
value,11,0.000925,8,0.31,1e-06,-0.04,-1,1,0.5
value,11,0.000947,8,0.311,1e-06,-0.04,-1,1,0.5
value,11,0.000924,8,0.312,1e-06,-0.04,-1,1,0.5
value,11,0.000925,8,0.313,1e-06,-0.04,-1,1,0.5
value,11,0.000925,8,0.314,1e-06,-0.04,-1,1,0.5
value,12,0.001008,12,0.315,1e-06,-0.04,-1,1,0.5
value,12,0.00101,12,0.316,1e-06,-0.04,-1,1,0.5
value,12,0.001009,12,0.317,1e-06,-0.04,-1,1,0.5
value,12,0.001036,12,0.318,1e-06,-0.04,-1,1,0.5
value,12,0.001008,12,0.319,1e-06,-0.04,-1,1,0.5
value,12,0.00101,12,0.32,1e-06,-0.04,-1,1,0.5
value,12,0.001008,12,0.321,1e-06,-0.04,-1,1,0.5
value,12,0.001008,12,0.322,1e-06,-0.04,-1,1,0.5
value,12,0.001017,12,0.323,1e-06,-0.04,-1,1,0.5
value,12,0.001008,12,0.324,1e-06,-0.04,-1,1,0.5
value,12,0.001008,12,0.325,1e-06,-0.04,-1,1,0.5
value,12,0.001008,12,0.326,1e-06,-0.04,-1,1,0.5
value,12,0.00101,12,0.327,1e-06,-0.04,-1,1,0.5
value,12,0.001008,12,0.328,1e-06,-0.04,-1,1,0.5
value,12,0.001007,12,0.329,1e-06,-0.04,-1,1,0.5
value,12,0.001009,12,0.33,1e-06,-0.04,-1,1,0.5
value,12,0.00101,12,0.331,1e-06,-0.04,-1,1,0.5
value,12,0.001008,12,0.332,1e-06,-0.04,-1,1,0.5
value,12,0.001008,12,0.333,1e-06,-0.04,-1,1,0.5
value,12,0.001008,12,0.334,1e-06,-0.04,-1,1,0.5
value,12,0.00101,12,0.335,1e-06,-0.04,-1,1,0.5
value,12,0.001008,12,0.336,1e-06,-0.04,-1,1,0.5
value,12,0.001044,12,0.337,1e-06,-0.04,-1,1,0.5
value,12,0.001009,12,0.338,1e-06,-0.04,-1,1,0.5
value,12,0.001033,12,0.339,1e-06,-0.04,-1,1,0.5
value,12,0.001024,12,0.34,1e-06,-0.04,-1,1,0.5
value,12,0.001008,12,0.341,1e-06,-0.04,-1,1,0.5
value,12,0.001008,12,0.342,1e-06,-0.04,-1,1,0.5
value,12,0.001009,12,0.343,1e-06,-0.04,-1,1,0.5
value,12,0.001008,12,0.344,1e-06,-0.04,-1,1,0.5
value,12,0.001008,12,0.345,1e-06,-0.04,-1,1,0.5
value,13,0.00112,13,0.346,1e-06,-0.04,-1,1,0.5
value,13,0.001094,13,0.347,1e-06,-0.04,-1,1,0.5
value,13,0.001091,13,0.348,1e-06,-0.04,-1,1,0.5
value,13,0.001091,13,0.349,1e-06,-0.04,-1,1,0.5
value,13,0.001092,13,0.35,1e-06,-0.04,-1,1,0.5
value,13,0.001093,13,0.351,1e-06,-0.04,-1,1,0.5
value,13,0.001092,13,0.352,1e-06,-0.04,-1,1,0.5
value,13,0.001091,13,0.353,1e-06,-0.04,-1,1,0.5
value,13,0.001092,13,0.354,1e-06,-0.04,-1,1,0.5
value,13,0.001092,13,0.355,1e-06,-0.04,-1,1,0.5
value,13,0.001091,13,0.356,1e-06,-0.04,-1,1,0.5
value,13,0.001091,13,0.357,1e-06,-0.04,-1,1,0.5
value,13,0.001106,13,0.358,1e-06,-0.04,-1,1,0.5
value,13,0.001101,13,0.359,1e-06,-0.04,-1,1,0.5
value,13,0.001111,13,0.36,1e-06,-0.04,-1,1,0.5
value,13,0.001092,13,0.361,1e-06,-0.04,-1,1,0.5
value,13,0.001093,13,0.362,1e-06,-0.04,-1,1,0.5
value,13,0.001092,13,0.363,1e-06,-0.04,-1,1,0.5
value,13,0.001091,13,0.364,1e-06,-0.04,-1,1,0.5
value,13,0.001093,13,0.365,1e-06,-0.04,-1,1,0.5
value,13,0.001091,13,0.366,1e-06,-0.04,-1,1,0.5
value,13,0.001091,13,0.367,1e-06,-0.04,-1,1,0.5
value,13,0.001092,13,0.368,1e-06,-0.04,-1,1,0.5
value,13,0.001099,13,0.369,1e-06,-0.04,-1,1,0.5
value,13,0.001092,13,0.37,1e-06,-0.04,-1,1,0.5
value,13,0.001091,13,0.371,1e-06,-0.04,-1,1,0.5
value,13,0.001093,13,0.372,1e-06,-0.04,-1,1,0.5
value,13,0.001091,13,0.373,1e-06,-0.04,-1,1,0.5
value,13,0.001092,13,0.374,1e-06,-0.04,-1,1,0.5
value,13,0.001091,13,0.375,1e-06,-0.04,-1,1,0.5
value,13,0.001094,13,0.376,1e-06,-0.04,-1,1,0.5
value,14,0.001174,14,0.377,1e-06,-0.04,-1,1,0.5
value,14,0.001216,14,0.378,1e-06,-0.04,-1,1,0.5
value,14,0.001176,14,0.379,1e-06,-0.04,-1,1,0.5
value,14,0.001175,14,0.38,1e-06,-0.04,-1,1,0.5
value,14,0.001175,14,0.381,1e-06,-0.04,-1,1,0.5
value,14,0.001175,14,0.382,1e-06,-0.04,-1,1,0.5
value,14,0.001176,14,0.383,1e-06,-0.04,-1,1,0.5
value,14,0.001174,14,0.384,1e-06,-0.04,-1,1,0.5
value,14,0.001174,14,0.385,1e-06,-0.04,-1,1,0.5
value,14,0.001176,14,0.386,1e-06,-0.04,-1,1,0.5
value,14,0.001175,14,0.387,1e-06,-0.04,-1,1,0.5
value,14,0.001174,14,0.388,1e-06,-0.04,-1,1,0.5
value,14,0.001175,14,0.389,1e-06,-0.04,-1,1,0.5
value,14,0.001176,14,0.39,1e-06,-0.04,-1,1,0.5
value,14,0.001183,14,0.391,1e-06,-0.04,-1,1,0.5
value,14,0.001175,14,0.392,1e-06,-0.04,-1,1,0.5
value,14,0.001177,14,0.393,1e-06,-0.04,-1,1,0.5
value,14,0.001175,14,0.394,1e-06,-0.04,-1,1,0.5
value,14,0.001175,14,0.395,1e-06,-0.04,-1,1,0.5
value,14,0.001176,14,0.396,1e-06,-0.04,-1,1,0.5
value,14,0.001175,14,0.397,1e-06,-0.04,-1,1,0.5
value,14,0.001174,14,0.398,1e-06,-0.04,-1,1,0.5
value,14,0.001175,14,0.399,1e-06,-0.04,-1,1,0.5
value,14,0.001176,14,0.4,1e-06,-0.04,-1,1,0.5
value,14,0.001175,14,0.401,1e-06,-0.04,-1,1,0.5
value,14,0.001175,14,0.402,1e-06,-0.04,-1,1,0.5
value,14,0.001196,14,0.403,1e-06,-0.04,-1,1,0.5
value,14,0.001174,14,0.404,1e-06,-0.04,-1,1,0.5
value,14,0.001174,14,0.405,1e-06,-0.04,-1,1,0.5
value,15,0.001258,15,0.406,1e-06,-0.04,-1,1,0.5
value,15,0.00126,15,0.407,1e-06,-0.04,-1,1,0.5
value,15,0.001258,15,0.408,1e-06,-0.04,-1,1,0.5
value,15,0.001259,15,0.409,1e-06,-0.04,-1,1,0.5
value,15,0.001261,15,0.41,1e-06,-0.04,-1,1,0.5
value,15,0.001259,15,0.411,1e-06,-0.04,-1,1,0.5
value,15,0.001266,15,0.412,1e-06,-0.04,-1,1,0.5
value,15,0.00131,15,0.413,1e-06,-0.04,-1,1,0.5
value,15,0.001259,15,0.414,1e-06,-0.04,-1,1,0.5
value,15,0.001258,15,0.415,1e-06,-0.04,-1,1,0.5
value,15,0.001262,15,0.416,1e-06,-0.04,-1,1,0.5
value,15,0.001259,15,0.417,1e-06,-0.04,-1,1,0.5
value,15,0.001259,15,0.418,1e-06,-0.04,-1,1,0.5
value,15,0.00126,15,0.419,1e-06,-0.04,-1,1,0.5
value,15,0.001259,15,0.42,1e-06,-0.04,-1,1,0.5
value,15,0.001258,15,0.421,1e-06,-0.04,-1,1,0.5
value,15,0.001281,15,0.422,1e-06,-0.04,-1,1,0.5
value,15,0.001273,15,0.423,1e-06,-0.04,-1,1,0.5
value,15,0.001278,15,0.424,1e-06,-0.04,-1,1,0.5
value,15,0.001261,15,0.425,1e-06,-0.04,-1,1,0.5
value,15,0.001259,15,0.426,1e-06,-0.04,-1,1,0.5
value,15,0.001259,15,0.427,1e-06,-0.04,-1,1,0.5
value,15,0.001259,15,0.428,1e-06,-0.04,-1,1,0.5
value,15,0.00126,15,0.429,1e-06,-0.04,-1,1,0.5
value,15,0.001258,15,0.43,1e-06,-0.04,-1,1,0.5
value,15,0.001267,15,0.431,1e-06,-0.04,-1,1,0.5
value,16,0.001344,16,0.432,1e-06,-0.04,-1,1,0.5
value,16,0.001343,16,0.433,1e-06,-0.04,-1,1,0.5
value,16,0.001342,16,0.434,1e-06,-0.04,-1,1,0.5
value,16,0.001344,16,0.435,1e-06,-0.04,-1,1,0.5
value,16,0.001343,16,0.436,1e-06,-0.04,-1,1,0.5
value,16,0.001343,16,0.437,1e-06,-0.04,-1,1,0.5
