Type,Iterations,Time,OptIterations,Discount,Epsilon,SCost,NegTerm,PosTerm,KeyLoss
value,70,0.006753,32,0.999999,1e-06,-0.04,-1,1,0.01
value,73,0.008342,32,0.999999,1e-06,-0.04,-1,1,0.02
value,74,0.006747,32,0.999999,1e-06,-0.04,-1,1,0.03
value,76,0.008289,32,0.999999,1e-06,-0.04,-1,1,0.04
value,77,0.008349,32,0.999999,1e-06,-0.04,-1,1,0.05
value,78,0.007799,31,0.999999,1e-06,-0.04,-1,1,0.06
value,79,0.007031,31,0.999999,1e-06,-0.04,-1,1,0.07
value,70,0.005986,31,0.999999,1e-06,-0.04,-1,1,0.08
value,71,0.006946,31,0.999999,1e-06,-0.04,-1,1,0.09
value,71,0.006022,31,0.999999,1e-06,-0.04,-1,1,0.1
value,72,0.006713,31,0.999999,1e-06,-0.04,-1,1,0.11
value,72,0.006044,31,0.999999,1e-06,-0.04,-1,1,0.12
value,73,0.006163,31,0.999999,1e-06,-0.04,-1,1,0.13
value,73,0.007838,31,0.999999,1e-06,-0.04,-1,1,0.14
value,74,0.006448,31,0.999999,1e-06,-0.04,-1,1,0.15
value,74,0.007756,31,0.999999,1e-06,-0.04,-1,1,0.16
value,74,0.006958,31,0.999999,1e-06,-0.04,-1,1,0.17
value,75,0.006563,31,0.999999,1e-06,-0.04,-1,1,0.18
value,75,0.006541,31,0.999999,1e-06,-0.04,-1,1,0.19
value,75,0.006812,31,0.999999,1e-06,-0.04,-1,1,0.2
value,76,0.00711,31,0.999999,1e-06,-0.04,-1,1,0.21
value,76,0.006638,31,0.999999,1e-06,-0.04,-1,1,0.22
value,76,0.006619,31,0.999999,1e-06,-0.04,-1,1,0.23
value,76,0.00685,31,0.999999,1e-06,-0.04,-1,1,0.24
value,77,0.006536,31,0.999999,1e-06,-0.04,-1,1,0.25
value,77,0.00962,31,0.999999,1e-06,-0.04,-1,1,0.26
value,77,0.00706,31,0.999999,1e-06,-0.04,-1,1,0.27
value,77,0.007719,31,0.999999,1e-06,-0.04,-1,1,0.28
value,77,0.00812,31,0.999999,1e-06,-0.04,-1,1,0.29
value,77,0.007613,31,0.999999,1e-06,-0.04,-1,1,0.3
value,77,0.006667,31,0.999999,1e-06,-0.04,-1,1,0.31
value,64,0.007582,31,0.999999,1e-06,-0.04,-1,1,0.32
value,64,0.005588,31,0.999999,1e-06,-0.04,-1,1,0.33
value,64,0.005494,31,0.999999,1e-06,-0.04,-1,1,0.34
value,64,0.005773,31,0.999999,1e-06,-0.04,-1,1,0.35
value,64,0.005571,31,0.999999,1e-06,-0.04,-1,1,0.36
value,64,0.005627,31,0.999999,1e-06,-0.04,-1,1,0.37
value,64,0.005587,31,0.999999,1e-06,-0.04,-1,1,0.38
value,64,0.005612,31,0.999999,1e-06,-0.04,-1,1,0.39
value,64,0.005607,31,0.999999,1e-06,-0.04,-1,1,0.4
value,64,0.005647,31,0.999999,1e-06,-0.04,-1,1,0.41
value,64,0.005598,31,0.999999,1e-06,-0.04,-1,1,0.42
value,64,0.005491,31,0.999999,1e-06,-0.04,-1,1,0.43
value,64,0.005558,31,0.999999,1e-06,-0.04,-1,1,0.44
value,64,0.005408,31,0.999999,1e-06,-0.04,-1,1,0.45
value,64,0.005414,31,0.999999,1e-06,-0.04,-1,1,0.46
value,64,0.005458,31,0.999999,1e-06,-0.04,-1,1,0.47
value,64,0.005403,31,0.999999,1e-06,-0.04,-1,1,0.48
value,64,0.005407,31,0.999999,1e-06,-0.04,-1,1,0.49
value,64,0.005403,31,0.999999,1e-06,-0.04,-1,1,0.5
value,64,0.005385,31,0.999999,1e-06,-0.04,-1,1,0.51
value,64,0.005551,31,0.999999,1e-06,-0.04,-1,1,0.52
value,65,0.005623,31,0.999999,1e-06,-0.04,-1,1,0.53
value,65,0.005512,31,0.999999,1e-06,-0.04,-1,1,0.54
value,65,0.005628,31,0.999999,1e-06,-0.04,-1,1,0.55
value,65,0.005621,31,0.999999,1e-06,-0.04,-1,1,0.56
value,65,0.005618,31,0.999999,1e-06,-0.04,-1,1,0.57
value,65,0.005635,31,0.999999,1e-06,-0.04,-1,1,0.58
value,65,0.005489,31,0.999999,1e-06,-0.04,-1,1,0.59
value,65,0.005544,31,0.999999,1e-06,-0.04,-1,1,0.6
value,65,0.005493,31,0.999999,1e-06,-0.04,-1,1,0.61
value,65,0.005462,31,0.999999,1e-06,-0.04,-1,1,0.62
value,65,0.005467,31,0.999999,1e-06,-0.04,-1,1,0.63
value,65,0.005519,31,0.999999,1e-06,-0.04,-1,1,0.64
value,65,0.005699,31,0.999999,1e-06,-0.04,-1,1,0.65
value,65,0.005681,31,0.999999,1e-06,-0.04,-1,1,0.66
value,65,0.005622,31,0.999999,1e-06,-0.04,-1,1,0.67
value,65,0.005553,31,0.999999,1e-06,-0.04,-1,1,0.68
value,65,0.00547,31,0.999999,1e-06,-0.04,-1,1,0.69
value,65,0.005628,31,0.999999,1e-06,-0.04,-1,1,0.7
value,65,0.005589,31,0.999999,1e-06,-0.04,-1,1,0.71
value,65,0.005536,31,0.999999,1e-06,-0.04,-1,1,0.72
value,65,0.00548,31,0.999999,1e-06,-0.04,-1,1,0.73
value,65,0.005445,31,0.999999,1e-06,-0.04,-1,1,0.74
value,65,0.005542,31,0.999999,1e-06,-0.04,-1,1,0.75
value,65,0.005625,31,0.999999,1e-06,-0.04,-1,1,0.76
value,65,0.005675,31,0.999999,1e-06,-0.04,-1,1,0.77
value,65,0.005587,31,0.999999,1e-06,-0.04,-1,1,0.78
value,65,0.00549,31,0.999999,1e-06,-0.04,-1,1,0.79
value,65,0.005492,31,0.999999,1e-06,-0.04,-1,1,0.8
value,65,0.005625,31,0.999999,1e-06,-0.04,-1,1,0.81
value,65,0.00552,31,0.999999,1e-06,-0.04,-1,1,0.82
value,65,0.005517,31,0.999999,1e-06,-0.04,-1,1,0.83
value,65,0.005503,31,0.999999,1e-06,-0.04,-1,1,0.84
value,65,0.005476,31,0.999999,1e-06,-0.04,-1,1,0.85
value,65,0.005674,31,0.999999,1e-06,-0.04,-1,1,0.86
value,65,0.005674,31,0.999999,1e-06,-0.04,-1,1,0.87
value,65,0.005688,31,0.999999,1e-06,-0.04,-1,1,0.88
value,65,0.005695,31,0.999999,1e-06,-0.04,-1,1,0.89
value,65,0.005684,31,0.999999,1e-06,-0.04,-1,1,0.9
value,65,0.005708,31,0.999999,1e-06,-0.04,-1,1,0.91
value,65,0.005741,31,0.999999,1e-06,-0.04,-1,1,0.92
value,65,0.005734,31,0.999999,1e-06,-0.04,-1,1,0.93
value,65,0.005718,31,0.999999,1e-06,-0.04,-1,1,0.94
value,65,0.005672,31,0.999999,1e-06,-0.04,-1,1,0.95
value,65,0.005682,31,0.999999,1e-06,-0.04,-1,1,0.96
value,65,0.005679,31,0.999999,1e-06,-0.04,-1,1,0.97
value,65,0.005668,31,0.999999,1e-06,-0.04,-1,1,0.98
value,65,0.005714,31,0.999999,1e-06,-0.04,-1,1,0.99
value,70,0.005873,32,0.999999,1e-06,-0.04,-1,1,0.01
value,73,0.006222,32,0.999999,1e-06,-0.04,-1,1,0.02
value,74,0.006291,32,0.999999,1e-06,-0.04,-1,1,0.03
value,76,0.006431,32,0.999999,1e-06,-0.04,-1,1,0.04
value,77,0.006719,32,0.999999,1e-06,-0.04,-1,1,0.05
value,78,0.006584,31,0.999999,1e-06,-0.04,-1,1,0.06
value,79,0.006648,31,0.999999,1e-06,-0.04,-1,1,0.07
value,70,0.006003,31,0.999999,1e-06,-0.04,-1,1,0.08
value,71,0.006451,31,0.999999,1e-06,-0.04,-1,1,0.09
value,71,0.005967,31,0.999999,1e-06,-0.04,-1,1,0.1
value,72,0.006031,31,0.999999,1e-06,-0.04,-1,1,0.11
value,72,0.006035,31,0.999999,1e-06,-0.04,-1,1,0.12
value,73,0.006131,31,0.999999,1e-06,-0.04,-1,1,0.13
value,73,0.00615,31,0.999999,1e-06,-0.04,-1,1,0.14
value,74,0.006199,31,0.999999,1e-06,-0.04,-1,1,0.15
value,74,0.00626,31,0.999999,1e-06,-0.04,-1,1,0.16
value,74,0.00624,31,0.999999,1e-06,-0.04,-1,1,0.17
value,75,0.006311,31,0.999999,1e-06,-0.04,-1,1,0.18
value,75,0.00631,31,0.999999,1e-06,-0.04,-1,1,0.19
value,75,0.006373,31,0.999999,1e-06,-0.04,-1,1,0.2
value,76,0.006411,31,0.999999,1e-06,-0.04,-1,1,0.21
value,76,0.006369,31,0.999999,1e-06,-0.04,-1,1,0.22
value,76,0.006371,31,0.999999,1e-06,-0.04,-1,1,0.23
value,76,0.006394,31,0.999999,1e-06,-0.04,-1,1,0.24
value,77,0.00651,31,0.999999,1e-06,-0.04,-1,1,0.25
value,77,0.006478,31,0.999999,1e-06,-0.04,-1,1,0.26
value,77,0.006502,31,0.999999,1e-06,-0.04,-1,1,0.27
value,77,0.006455,31,0.999999,1e-06,-0.04,-1,1,0.28
value,77,0.006475,31,0.999999,1e-06,-0.04,-1,1,0.29
value,77,0.006454,31,0.999999,1e-06,-0.04,-1,1,0.3
value,77,0.006496,31,0.999999,1e-06,-0.04,-1,1,0.31
value,64,0.005365,31,0.999999,1e-06,-0.04,-1,1,0.32
value,64,0.005437,31,0.999999,1e-06,-0.04,-1,1,0.33
value,64,0.005382,31,0.999999,1e-06,-0.04,-1,1,0.34
value,64,0.005365,31,0.999999,1e-06,-0.04,-1,1,0.35
value,64,0.005408,31,0.999999,1e-06,-0.04,-1,1,0.36
value,64,0.005365,31,0.999999,1e-06,-0.04,-1,1,0.37
