Type,Iterations,Time,OptIterations,Discount,Epsilon,SCost,NegTerm,PosTerm,KeyLoss
value,57,0.004917,29,0.999999,1e-06,-0.04,-0.01,1,0.5
value,56,0.005206,28,0.999999,1e-06,-0.04,-0.02,1,0.5
value,57,0.004983,27,0.999999,1e-06,-0.04,-0.03,1,0.5
value,57,0.004891,26,0.999999,1e-06,-0.04,-0.04,1,0.5
value,57,0.004925,26,0.999999,1e-06,-0.04,-0.05,1,0.5
value,57,0.00499,26,0.999999,1e-06,-0.04,-0.06,1,0.5
value,57,0.00496,25,0.999999,1e-06,-0.04,-0.07,1,0.5
value,57,0.004875,25,0.999999,1e-06,-0.04,-0.08,1,0.5
value,57,0.004882,29,0.999999,1e-06,-0.04,-0.09,1,0.5
value,57,0.004855,27,0.999999,1e-06,-0.04,-0.1,1,0.5
value,57,0.0048,26,0.999999,1e-06,-0.04,-0.11,1,0.5
value,57,0.004819,26,0.999999,1e-06,-0.04,-0.12,1,0.5
value,57,0.004799,25,0.999999,1e-06,-0.04,-0.13,1,0.5
value,57,0.004779,25,0.999999,1e-06,-0.04,-0.14,1,0.5
value,57,0.004802,25,0.999999,1e-06,-0.04,-0.15,1,0.5
value,57,0.004847,24,0.999999,1e-06,-0.04,-0.16,1,0.5
value,57,0.005812,24,0.999999,1e-06,-0.04,-0.17,1,0.5
value,57,0.006032,24,0.999999,1e-06,-0.04,-0.18,1,0.5
value,57,0.005358,29,0.999999,1e-06,-0.04,-0.19,1,0.5
value,57,0.005837,28,0.999999,1e-06,-0.04,-0.2,1,0.5
value,57,0.004984,27,0.999999,1e-06,-0.04,-0.21,1,0.5
value,57,0.005068,27,0.999999,1e-06,-0.04,-0.22,1,0.5
value,57,0.004803,26,0.999999,1e-06,-0.04,-0.23,1,0.5
value,57,0.004858,26,0.999999,1e-06,-0.04,-0.24,1,0.5
value,57,0.004802,26,0.999999,1e-06,-0.04,-0.25,1,0.5
value,57,0.004867,27,0.999999,1e-06,-0.04,-0.26,1,0.5
value,57,0.004803,28,0.999999,1e-06,-0.04,-0.27,1,0.5
value,57,0.004864,29,0.999999,1e-06,-0.04,-0.28,1,0.5
value,57,0.004784,25,0.999999,1e-06,-0.04,-0.29,1,0.5
value,57,0.004801,25,0.999999,1e-06,-0.04,-0.3,1,0.5
value,57,0.004778,24,0.999999,1e-06,-0.04,-0.31,1,0.5
value,57,0.004825,24,0.999999,1e-06,-0.04,-0.32,1,0.5
value,57,0.004802,24,0.999999,1e-06,-0.04,-0.33,1,0.5
value,57,0.004802,24,0.999999,1e-06,-0.04,-0.34,1,0.5
value,57,0.004778,24,0.999999,1e-06,-0.04,-0.35,1,0.5
value,57,0.004838,24,0.999999,1e-06,-0.04,-0.36,1,0.5
value,57,0.0048,24,0.999999,1e-06,-0.04,-0.37,1,0.5
