Type,Iterations,Time,OptIterations,Discount,Epsilon,SCost,NegTerm,PosTerm,KeyLoss
value,47,0.003948,23,0.999999,1e-06,-0.04,-1,0.01,0.5
value,47,0.00398,23,0.999999,1e-06,-0.04,-1,0.02,0.5
value,47,0.00401,23,0.999999,1e-06,-0.04,-1,0.03,0.5
value,47,0.004042,23,0.999999,1e-06,-0.04,-1,0.04,0.5
value,47,0.00409,23,0.999999,1e-06,-0.04,-1,0.05,0.5
value,47,0.00409,23,0.999999,1e-06,-0.04,-1,0.06,0.5
value,47,0.004104,23,0.999999,1e-06,-0.04,-1,0.07,0.5
value,47,0.004118,23,0.999999,1e-06,-0.04,-1,0.08,0.5
value,47,0.004089,23,0.999999,1e-06,-0.04,-1,0.09,0.5
value,48,0.004097,24,0.999999,1e-06,-0.04,-1,0.1,0.5
value,49,0.00414,23,0.999999,1e-06,-0.04,-1,0.11,0.5
value,49,0.004178,22,0.999999,1e-06,-0.04,-1,0.12,0.5
value,49,0.004246,22,0.999999,1e-06,-0.04,-1,0.13,0.5
value,49,0.00415,22,0.999999,1e-06,-0.04,-1,0.14,0.5
value,49,0.004128,22,0.999999,1e-06,-0.04,-1,0.15,0.5
value,49,0.004171,24,0.999999,1e-06,-0.04,-1,0.16,0.5
value,50,0.004195,24,0.999999,1e-06,-0.04,-1,0.17,0.5
value,50,0.004235,22,0.999999,1e-06,-0.04,-1,0.18,0.5
value,50,0.004279,22,0.999999,1e-06,-0.04,-1,0.19,0.5
value,50,0.004347,22,0.999999,1e-06,-0.04,-1,0.2,0.5
value,50,0.004359,22,0.999999,1e-06,-0.04,-1,0.21,0.5
value,50,0.004376,22,0.999999,1e-06,-0.04,-1,0.22,0.5
value,50,0.004366,21,0.999999,1e-06,-0.04,-1,0.23,0.5
value,50,0.004259,21,0.999999,1e-06,-0.04,-1,0.24,0.5
value,50,0.004242,21,0.999999,1e-06,-0.04,-1,0.25,0.5
value,50,0.004231,21,0.999999,1e-06,-0.04,-1,0.26,0.5
value,50,0.004342,21,0.999999,1e-06,-0.04,-1,0.27,0.5
value,51,0.004322,21,0.999999,1e-06,-0.04,-1,0.28,0.5
value,51,0.004328,21,0.999999,1e-06,-0.04,-1,0.29,0.5
value,51,0.004294,21,0.999999,1e-06,-0.04,-1,0.3,0.5
value,53,0.004486,28,0.999999,1e-06,-0.04,-1,0.31,0.5
value,53,0.004576,25,0.999999,1e-06,-0.04,-1,0.32,0.5
value,53,0.004597,24,0.999999,1e-06,-0.04,-1,0.33,0.5
value,53,0.004586,24,0.999999,1e-06,-0.04,-1,0.34,0.5
value,53,0.004584,23,0.999999,1e-06,-0.04,-1,0.35,0.5
value,53,0.004586,23,0.999999,1e-06,-0.04,-1,0.36,0.5
value,53,0.004583,23,0.999999,1e-06,-0.04,-1,0.37,0.5
value,53,0.004583,22,0.999999,1e-06,-0.04,-1,0.38,0.5
value,53,0.00448,22,0.999999,1e-06,-0.04,-1,0.39,0.5
value,53,0.004481,22,0.999999,1e-06,-0.04,-1,0.4,0.5
value,53,0.004441,24,0.999999,1e-06,-0.04,-1,0.41,0.5
value,53,0.004441,23,0.999999,1e-06,-0.04,-1,0.42,0.5
value,54,0.004565,30,0.999999,1e-06,-0.04,-1,0.43,0.5
value,54,0.004565,29,0.999999,1e-06,-0.04,-1,0.44,0.5
value,54,0.004544,28,0.999999,1e-06,-0.04,-1,0.45,0.5
value,55,0.004609,29,0.999999,1e-06,-0.04,-1,0.46,0.5
value,55,0.004628,27,0.999999,1e-06,-0.04,-1,0.47,0.5
value,55,0.004658,27,0.999999,1e-06,-0.04,-1,0.48,0.5
value,55,0.004767,27,0.999999,1e-06,-0.04,-1,0.49,0.5
value,55,0.004797,27,0.999999,1e-06,-0.04,-1,0.5,0.5
value,55,0.004865,30,0.999999,1e-06,-0.04,-1,0.51,0.5
