Type,Iterations,Time,OptIterations,Discount,Epsilon,SCost,NegTerm,PosTerm,KeyLoss
value,297,0.025229,73,0.999999,1e-06,-0.001,-1,1,0.5
value,297,0.025867,64,0.999999,1e-06,-0.002,-1,1,0.5
value,296,0.025111,59,0.999999,1e-06,-0.003,-1,1,0.5
value,295,0.024981,55,0.999999,1e-06,-0.004,-1,1,0.5
value,294,0.024788,52,0.999999,1e-06,-0.005,-1,1,0.5
value,293,0.024693,49,0.999999,1e-06,-0.006,-1,1,0.5
value,292,0.024579,45,0.999999,1e-06,-0.007,-1,1,0.5
value,290,0.024472,43,0.999999,1e-06,-0.008,-1,1,0.5
value,288,0.024266,39,0.999999,1e-06,-0.009,-1,1,0.5
value,286,0.024102,38,0.999999,1e-06,-0.01,-1,1,0.5
value,282,0.023815,35,0.999999,1e-06,-0.011,-1,1,0.5
value,275,0.023304,35,0.999999,1e-06,-0.012,-1,1,0.5
value,127,0.010718,34,0.999999,1e-06,-0.013,-1,1,0.5
value,126,0.010664,35,0.999999,1e-06,-0.014,-1,1,0.5
value,125,0.010541,36,0.999999,1e-06,-0.015,-1,1,0.5
value,107,0.009015,38,0.999999,1e-06,-0.016,-1,1,0.5
value,106,0.008968,38,0.999999,1e-06,-0.017,-1,1,0.5
value,105,0.009628,40,0.999999,1e-06,-0.018,-1,1,0.5
value,101,0.008502,36,0.999999,1e-06,-0.019,-1,1,0.5
value,100,0.00841,34,0.999999,1e-06,-0.02,-1,1,0.5
value,100,0.008419,31,0.999999,1e-06,-0.021,-1,1,0.5
value,99,0.008341,35,0.999999,1e-06,-0.022,-1,1,0.5
value,82,0.006918,33,0.999999,1e-06,-0.023,-1,1,0.5
value,82,0.006955,33,0.999999,1e-06,-0.024,-1,1,0.5
value,81,0.006858,29,0.999999,1e-06,-0.025,-1,1,0.5
value,81,0.007389,31,0.999999,1e-06,-0.026,-1,1,0.5
value,81,0.007035,34,0.999999,1e-06,-0.027,-1,1,0.5
value,81,0.006991,32,0.999999,1e-06,-0.028,-1,1,0.5
value,81,0.00679,35,0.999999,1e-06,-0.029,-1,1,0.5
value,80,0.006795,28,0.999999,1e-06,-0.03,-1,1,0.5
value,80,0.006746,30,0.999999,1e-06,-0.031,-1,1,0.5
value,80,0.006718,34,0.999999,1e-06,-0.032,-1,1,0.5
value,80,0.00719,29,0.999999,1e-06,-0.033,-1,1,0.5
value,80,0.006861,30,0.999999,1e-06,-0.034,-1,1,0.5
value,79,0.006716,31,0.999999,1e-06,-0.035,-1,1,0.5
value,79,0.006706,35,0.999999,1e-06,-0.036,-1,1,0.5
value,77,0.006475,27,0.999999,1e-06,-0.037,-1,1,0.5
value,64,0.005426,27,0.999999,1e-06,-0.038,-1,1,0.5
value,64,0.005471,28,0.999999,1e-06,-0.039,-1,1,0.5
value,64,0.005539,31,0.999999,1e-06,-0.04,-1,1,0.5
value,64,0.005541,29,0.999999,1e-06,-0.041,-1,1,0.5
value,64,0.005485,31,0.999999,1e-06,-0.042,-1,1,0.5
value,64,0.005403,28,0.999999,1e-06,-0.043,-1,1,0.5
value,64,0.005406,31,0.999999,1e-06,-0.044,-1,1,0.5
value,64,0.005391,26,0.999999,1e-06,-0.045,-1,1,0.5
value,64,0.00538,27,0.999999,1e-06,-0.046,-1,1,0.5
value,57,0.004818,26,0.999999,1e-06,-0.047,-1,1,0.5
value,57,0.004795,26,0.999999,1e-06,-0.048,-1,1,0.5
value,57,0.004803,26,0.999999,1e-06,-0.049,-1,1,0.5
value,57,0.004774,26,0.999999,1e-06,-0.05,-1,1,0.5
value,57,0.004824,27,0.999999,1e-06,-0.051,-1,1,0.5
value,57,0.004795,27,0.999999,1e-06,-0.052,-1,1,0.5
value,57,0.004795,31,0.999999,1e-06,-0.053,-1,1,0.5
value,57,0.004778,28,0.999999,1e-06,-0.054,-1,1,0.5
value,57,0.0048,29,0.999999,1e-06,-0.055,-1,1,0.5
value,57,0.004777,30,0.999999,1e-06,-0.056,-1,1,0.5
value,57,0.004816,24,0.999999,1e-06,-0.057,-1,1,0.5
value,57,0.004776,24,0.999999,1e-06,-0.058,-1,1,0.5
value,57,0.004806,24,0.999999,1e-06,-0.059,-1,1,0.5
value,57,0.004906,24,0.999999,1e-06,-0.06,-1,1,0.5
value,57,0.005507,24,0.999999,1e-06,-0.061,-1,1,0.5
